DATAFLOW,LAST UPDATE,freq,product,nrg_cons,unit,tax,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2007-S1,0.1159,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2007-S2,0.109,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2008-S1,0.1103,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2008-S2,0.1152,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2009-S1,0.116,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2009-S2,0.1163,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2010-S1,0.1181,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2010-S2,0.1226,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2011-S1,0.1269,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2011-S2,0.1281,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2012-S1,0.1293,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2012-S2,0.1333,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2013-S1,0.1326,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,Excluding taxes and levies,Euro,European Union - 27 countries (from 2020),2013-S2,0.1338,,
