STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,product,Products,currency,Currency,unit,Unit of measure,indic_en,Energy indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TEN00117(1.0),Electricity prices by type of user,A,Annual,6000,Electrical energy,EUR,Euro,KWH,Kilowatt-hour,MSHH,Medium size households,AL,Albania,2013,,0.1156,,,,,
dataflow,ESTAT:TEN00117(1.0),Electricity prices by type of user,A,Annual,6000,Electrical energy,EUR,Euro,KWH,Kilowatt-hour,MSHH,Medium size households,AL,Albania,2014,,0.1156,,,,,
dataflow,ESTAT:TEN00117(1.0),Electricity prices by type of user,A,Annual,6000,Electrical energy,EUR,Euro,KWH,Kilowatt-hour,MSHH,Medium size households,AL,Albania,2015,,0.0812,,,,,
dataflow,ESTAT:TEN00117(1.0),Electricity prices by type of user,A,Annual,6000,Electrical energy,EUR,Euro,KWH,Kilowatt-hour,MSHH,Medium size households,AL,Albania,2016,,0.0824,,,,,
dataflow,ESTAT:TEN00117(1.0),Electricity prices by type of user,A,Annual,6000,Electrical energy,EUR,Euro,KWH,Kilowatt-hour,MSHH,Medium size households,AL,Albania,2017,,0.0844,,,,,
dataflow,ESTAT:TEN00117(1.0),Electricity prices by type of user,A,Annual,6000,Electrical energy,EUR,Euro,KWH,Kilowatt-hour,MSHH,Medium size households,AL,Albania,2019,,0.0920,,e,estimated,,
dataflow,ESTAT:TEN00117(1.0),Electricity prices by type of user,A,Annual,6000,Electrical energy,EUR,Euro,KWH,Kilowatt-hour,MSHH,Medium size households,AL,Albania,2020,,0.0922,,e,estimated,,
dataflow,ESTAT:TEN00117(1.0),Electricity prices by type of user,A,Annual,6000,Electrical energy,EUR,Euro,KWH,Kilowatt-hour,MSHH,Medium size households,AL,Albania,2021,,0.0925,,e,estimated,,
dataflow,ESTAT:TEN00117(1.0),Electricity prices by type of user,A,Annual,6000,Electrical energy,EUR,Euro,KWH,Kilowatt-hour,MSHH,Medium size households,AL,Albania,2022,,0.0941,,,,,
dataflow,ESTAT:TEN00117(1.0),Electricity prices by type of user,A,Annual,6000,Electrical energy,EUR,Euro,KWH,Kilowatt-hour,MSHH,Medium size households,AL,Albania,2023,,0.1010,,,,,
dataflow,ESTAT:TEN00117(1.0),Electricity prices by type of user,A,Annual,6000,Electrical energy,EUR,Euro,KWH,Kilowatt-hour,MSHH,Medium size households,AL,Albania,2024,,0.1114,,,,,
dataflow,ESTAT:TEN00117(1.0),Electricity prices by type of user,A,Annual,6000,Electrical energy,EUR,Euro,KWH,Kilowatt-hour,MSHH,Medium size households,EU27_2020,European Union - 27 countries (from 2020),2013,,0.2042,,,,,
dataflow,ESTAT:TEN00117(1.0),Electricity prices by type of user,A,Annual,6000,Electrical energy,EUR,Euro,KWH,Kilowatt-hour,MSHH,Medium size households,EU27_2020,European Union - 27 countries (from 2020),2014,,0.2058,,,,,
dataflow,ESTAT:TEN00117(1.0),Electricity prices by type of user,A,Annual,6000,Electrical energy,EUR,Euro,KWH,Kilowatt-hour,MSHH,Medium size households,EU27_2020,European Union - 27 countries (from 2020),2015,,0.2083,,,,,
dataflow,ESTAT:TEN00117(1.0),Electricity prices by type of user,A,Annual,6000,Electrical energy,EUR,Euro,KWH,Kilowatt-hour,MSHH,Medium size households,EU27_2020,European Union - 27 countries (from 2020),2016,,0.2051,,,,,
dataflow,ESTAT:TEN00117(1.0),Electricity prices by type of user,A,Annual,6000,Electrical energy,EUR,Euro,KWH,Kilowatt-hour,MSHH,Medium size households,EU27_2020,European Union - 27 countries (from 2020),2017,,0.2086,,,,,
dataflow,ESTAT:TEN00117(1.0),Electricity prices by type of user,A,Annual,6000,Electrical energy,EUR,Euro,KWH,Kilowatt-hour,MSHH,Medium size households,EU27_2020,European Union - 27 countries (from 2020),2018,,0.2100,,,,,
dataflow,ESTAT:TEN00117(1.0),Electricity prices by type of user,A,Annual,6000,Electrical energy,EUR,Euro,KWH,Kilowatt-hour,MSHH,Medium size households,EU27_2020,European Union - 27 countries (from 2020),2019,,0.2168,,,,,
dataflow,ESTAT:TEN00117(1.0),Electricity prices by type of user,A,Annual,6000,Electrical energy,EUR,Euro,KWH,Kilowatt-hour,MSHH,Medium size households,EU27_2020,European Union - 27 countries (from 2020),2020,,0.2131,,,,,
dataflow,ESTAT:TEN00117(1.0),Electricity prices by type of user,A,Annual,6000,Electrical energy,EUR,Euro,KWH,Kilowatt-hour,MSHH,Medium size households,EU27_2020,European Union - 27 countries (from 2020),2021,,0.2203,,,,,
dataflow,ESTAT:TEN00117(1.0),Electricity prices by type of user,A,Annual,6000,Electrical energy,EUR,Euro,KWH,Kilowatt-hour,MSHH,Medium size households,EU27_2020,European Union - 27 countries (from 2020),2022,,0.2525,,,,,
dataflow,ESTAT:TEN00117(1.0),Electricity prices by type of user,A,Annual,6000,Electrical energy,EUR,Euro,KWH,Kilowatt-hour,MSHH,Medium size households,EU27_2020,European Union - 27 countries (from 2020),2023,,0.2937,,,,,
dataflow,ESTAT:TEN00117(1.0),Electricity prices by type of user,A,Annual,6000,Electrical energy,EUR,Euro,KWH,Kilowatt-hour,MSHH,Medium size households,EU27_2020,European Union - 27 countries (from 2020),2024,,0.2889,,,,,
